,subjid,quest,product,rating,gender,age,role
552,12,2,food and drink items for the main grocery shop,3,male,40,Professor
553,12,2,wine,4,male,40,Professor
554,12,2,music concert,4,male,40,Professor
555,12,2,home security system,3,male,40,Professor
556,12,2,toothpaste,3,male,40,Professor
557,12,2,spa,4,male,40,Professor
558,12,2,video game console,3,male,40,Professor
559,12,2,clothes for a friend's wedding,4,male,40,Professor
560,13,2,food and drink items for the main grocery shop,4,male,45,Chief Data Officer
561,13,2,wine,4,male,45,Chief Data Officer
562,13,2,music concert,4,male,45,Chief Data Officer
563,13,2,home security system,3,male,45,Chief Data Officer
564,13,2,toothpaste,3,male,45,Chief Data Officer
565,13,2,spa,4,male,45,Chief Data Officer
566,13,2,video game console,4,male,45,Chief Data Officer
567,13,2,clothes for a friend's wedding,4,male,45,Chief Data Officer
568,14,2,food and drink items for the main grocery shop,4,male,45,Professor
569,14,2,wine,3,male,45,Professor
570,14,2,music concert,4,male,45,Professor
571,14,2,home security system,4,male,45,Professor
572,14,2,toothpaste,3,male,45,Professor
573,14,2,spa,4,male,45,Professor
574,14,2,video game console,3,male,45,Professor
575,14,2,clothes for a friend's wedding,3,male,45,Professor
576,15,2,food and drink items for the main grocery shop,4,male,50,Chief Data Officer
577,15,2,wine,4,male,50,Chief Data Officer
578,15,2,music concert,4,male,50,Chief Data Officer
579,15,2,home security system,4,male,50,Chief Data Officer
580,15,2,toothpaste,3,male,50,Chief Data Officer
581,15,2,spa,4,male,50,Chief Data Officer
582,15,2,video game console,4,male,50,Chief Data Officer
583,15,2,clothes for a friend's wedding,4,male,50,Chief Data Officer
584,16,2,food and drink items for the main grocery shop,3,male,50,Professor
585,16,2,wine,3,male,50,Professor
586,16,2,music concert,4,male,50,Professor
587,16,2,home security system,3,male,50,Professor
588,16,2,toothpaste,3,male,50,Professor
589,16,2,spa,4,male,50,Professor
590,16,2,video game console,4,male,50,Professor
591,16,2,clothes for a friend's wedding,4,male,50,Professor
592,1,2,running shoes,4,female,35,Chief Data Officer
593,1,2,coffee machine,4,female,35,Chief Data Officer
594,1,2,jewellery,3,female,35,Chief Data Officer
595,2,2,running shoes,4,female,35,Professor
596,2,2,coffee machine,4,female,35,Professor
597,2,2,jewellery,3,female,35,Professor
598,3,2,running shoes,4,female,40,Chief Data Officer
599,3,2,coffee machine,4,female,40,Chief Data Officer
600,3,2,jewellery,3,female,40,Chief Data Officer
601,4,2,running shoes,4,female,40,Professor
602,4,2,coffee machine,4,female,40,Professor
603,4,2,jewellery,4,female,40,Professor
604,5,2,running shoes,4,female,45,Chief Data Officer
605,5,2,coffee machine,4,female,45,Chief Data Officer
606,5,2,jewellery,4,female,45,Chief Data Officer
607,6,2,running shoes,4,female,45,Professor
608,6,2,coffee machine,3,female,45,Professor
609,6,2,jewellery,4,female,45,Professor
610,7,2,running shoes,4,female,50,Chief Data Officer
611,7,2,coffee machine,4,female,50,Chief Data Officer
612,7,2,jewellery,4,female,50,Chief Data Officer
613,8,2,running shoes,3,female,50,Professor
614,8,2,coffee machine,4,female,50,Professor
615,8,2,jewellery,4,female,50,Professor
616,9,2,running shoes,4,male,35,Chief Data Officer
617,9,2,coffee machine,4,male,35,Chief Data Officer
618,9,2,jewellery,3,male,35,Chief Data Officer
619,10,2,running shoes,4,male,35,Professor
620,10,2,coffee machine,4,male,35,Professor
621,10,2,jewellery,4,male,35,Professor
622,11,2,running shoes,4,male,40,Chief Data Officer
623,11,2,coffee machine,4,male,40,Chief Data Officer
624,11,2,jewellery,4,male,40,Chief Data Officer
625,12,2,running shoes,3,male,40,Professor
626,12,2,coffee machine,4,male,40,Professor
627,12,2,jewellery,4,male,40,Professor
628,13,2,running shoes,4,male,45,Chief Data Officer
629,13,2,coffee machine,4,male,45,Chief Data Officer
630,13,2,jewellery,4,male,45,Chief Data Officer
631,14,2,running shoes,3,male,45,Professor
632,14,2,coffee machine,4,male,45,Professor
633,14,2,jewellery,4,male,45,Professor
634,15,2,running shoes,4,male,50,Chief Data Officer
635,15,2,coffee machine,4,male,50,Chief Data Officer
636,15,2,jewellery,4,male,50,Chief Data Officer
637,16,2,running shoes,3,male,50,Professor
638,16,2,coffee machine,4,male,50,Professor
639,16,2,jewellery,4,male,50,Professor
